dataset	schedule	objective	hybrid_vb_weight	beta_1	alpha_bar_T	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source
lsun_bedroom64	cosine	hybrid	0.001			2.703049	2.997275	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_hybrid
lsun_bedroom64	cosine	vlb				2.544243	12.022548	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_vlb
lsun_bedroom64	geometric_cosine	hybrid	0.001			2.425244	5.049229	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_hybrid
lsun_bedroom64	geometric_cosine	vlb				2.409065	9.738789	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_vlb
lsun_bedroom64	geometric_linear	hybrid	0.001			2.516480	4.477934	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_hybrid
lsun_bedroom64	geometric_linear	vlb				2.493092	14.631858	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_vlb
lsun_bedroom64	linear	hybrid	0.001			2.800603	2.699233	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_hybrid
lsun_bedroom64	linear	vlb				2.514481	14.807627	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_vlb
