dataset	schedule	objective	beta_1	alpha_bar_T	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source
celeba64	cosine	hybrid			2.487845	3.436297	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_hybrid
celeba64	cosine	vlb			2.392976	7.990079	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_vlb
celeba64	geometric_cosine	hybrid			2.315872	4.545041	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_hybrid
celeba64	geometric_cosine	vlb			2.294029	5.109179	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_vlb
celeba64	geometric_linear	hybrid			2.365376	4.399385	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_hybrid
celeba64	geometric_linear	vlb			2.353337	6.064305	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_vlb
celeba64	linear	hybrid			2.572481	2.160227	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_hybrid
celeba64	linear	vlb			2.373888	4.714939	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_vlb
