dataset	objective	schedule	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	n_features_requested	samples_npz	real_dir
cifar10	hybrid	cosine	3.213729	5.165507	0.00570352019	0.00284766433	4.17509151e-05	1.10632003	0.944599986	50000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train
cifar10	hybrid	geometric_cosine	2.920135	6.991795	0.0112303491	0.00505896796	7.54803026e-05	0.880100024	0.857599974	50000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	cosine	3.306671	5.122482	0.00533225071	0.00269480522	4.04478682e-05	1.12162003	0.944899976	50000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	simple	geometric_cosine	4.877593	6.762996	0.0121249049	0.00478996747	7.88461254e-05	0.865140015	0.862199962	50000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_simple/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	cosine	2.976541	9.417955	0.0147820883	0.00757758115	9.00091863e-05	0.80196001	0.820800006	50000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_vlb/samples_50000x32x32x3.npz	cifar_train
cifar10	vlb	geometric_cosine	2.929911	8.140166	0.013628512	0.00622800808	9.53613235e-05	0.827080023	0.831699967	50000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_vlb/samples_50000x32x32x3.npz	cifar_train
