dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source_eval_dir	cache_key
cifar10	hybrid	cosine	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train	50000	32	3.213729	5.165507	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_hybrid	4307db53903da1cd
cifar10	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_hybrid/samples_50000x32x32x3.npz	cifar_train	50000	32	2.920135	6.991795	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_hybrid	bceac204bc15a409
cifar10	simple	cosine	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_simple/samples_50000x32x32x3.npz	cifar_train	50000	32	3.306671	5.122482	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_simple	178e048406e6a9c3
cifar10	simple	geometric_cosine	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_simple/samples_50000x32x32x3.npz	cifar_train	50000	32	4.877593	6.762996	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_simple	3a905da1cdf0d7b9
cifar10	vlb	cosine	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_vlb/samples_50000x32x32x3.npz	cifar_train	50000	32	2.976541	9.417955	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_cosine_vlb	e31be011c5beaa15
cifar10	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_vlb/samples_50000x32x32x3.npz	cifar_train	50000	32	2.929911	8.140166	10000	50000	4000	/project_gpfs/bata0/bjin0/cifar10_conditional_evaluation_20260531_134458/cifar10_cond_geometric_cosine_vlb	8ef6abf633c4af12
