dataset	schedule	objective	beta_1	alpha_bar_T	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source
fashionmnist	tuned_nll	vlb	1e-5	3e-3	0.772187	3.366427	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
fashionmnist	tuned_balanced	simple	3e-5	1e-3	2.165292	2.108778	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
fashionmnist	tuned_balanced	hybrid	3e-5	1e-3	0.928733	2.081516	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
fashionmnist	tuned_balanced	vlb	3e-5	1e-3	0.984964	1.570319	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
fashionmnist	tuned_fid	simple	3e-3	1e-2	10.282825	21.763115	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
fashionmnist	tuned_fid	hybrid	3e-3	1e-2	2.517524	23.443041	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
fashionmnist	tuned_fid	vlb	3e-3	1e-2	2.380300	15.968571	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	linear	simple			3.418211	9.768684	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_simple
cifar10	linear	hybrid			3.295683	8.420695	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_linear_hybrid
cifar10	linear	vlb			3.090245	10.523915	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260125_101538/cifar10_linear_vlb
cifar10	cosine	simple			3.298120	5.549630	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_simple
cifar10	cosine	hybrid			3.206944	5.474877	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_hybrid
cifar10	cosine	vlb			2.981294	11.756001	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_20260121_095053/cifar10_cosine_vlb
cifar10	geometric_linear	simple			8.921947	6.795889	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_simple
cifar10	geometric_linear	hybrid			3.012372	7.114203	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_hybrid
cifar10	geometric_linear	vlb			3.009022	11.289727	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_linear_vlb
cifar10	geometric_cosine	simple			4.874985	9.684377	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_simple
cifar10	geometric_cosine	hybrid			2.921334	9.037849	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_hybrid
cifar10	geometric_cosine	vlb			2.924799	10.693692	10000	50000	4000	/project_gpfs/bata0/bjin0/evaluation_parallel_geometric_20260410_231224/cifar10_geometric_cosine_vlb
cifar10	tuned_nll	simple	1e-5	3e-3	5.534384	7.541979	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	tuned_nll	hybrid	1e-5	3e-3	2.928191	7.261212	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	tuned_nll	vlb	1e-5	3e-3	2.919428	10.174017	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	tuned_balanced	simple	3e-5	1e-3	10.117078	6.214429	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	tuned_balanced	hybrid	3e-5	1e-3	3.055473	6.626218	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
