dataset	objective	schedule	hybrid_vb_weight	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	clip_density	clip_coverage	n_features_requested	samples_npz	real_dir
lsun_bedroom64	hybrid	cosine	0.001	2.703049	2.997275	0.0156737517	0.00191667213	2.52430706e-05	1.2209	0.961999953	1.16622002	0.836399972	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	hybrid	geometric_cosine	0.001	2.425244	5.049229	0.0242307622	0.00336987518	3.43842247e-05	1.21060001	0.918500006	1.46766002	0.745399952	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	hybrid	geometric_linear	0.001	2.516480	4.477934	0.0208573664	0.00298008221	3.45889405e-05	1.23106005	0.932899952	1.43124004	0.783299983	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	hybrid	linear	0.001	2.800603	2.699233	0.012768201	0.00200203204	3.5440191e-05	1.02048	0.949799955	1.29606001	0.853799999	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	vlb	cosine		2.544243	12.022548	0.0472905718	0.0118651003	0.000113134872	0.753840021	0.767799973	1.23498002	0.551699996	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	vlb	geometric_cosine		2.409065	9.738789	0.0335884681	0.00675577553	6.3322383e-05	0.859840021	0.854999959	1.24334004	0.646899998	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	vlb	geometric_linear		2.493092	14.631858	0.0391578472	0.00972670931	7.92668127e-05	0.758280023	0.832499981	1.07750002	0.604600012	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
lsun_bedroom64	vlb	linear		2.514481	14.807627	0.0394273791	0.00973412705	9.15544592e-05	0.673320007	0.818300009	1.08960002	0.619199991	50000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb
