dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	hybrid_vb_weight	nll_samples	fid_samples	sampling_steps	source_eval_dir	cache_key
lsun_bedroom64	hybrid	cosine	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.703049	2.997275	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_hybrid	ce3a69905d6eb2d8
lsun_bedroom64	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.425244	5.049229	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_hybrid	8146f0476b974af8
lsun_bedroom64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.516480	4.477934	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_hybrid	d02b05ca7e57e927
lsun_bedroom64	hybrid	linear	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.800603	2.699233	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_hybrid	bacf39cb7f7e8780
lsun_bedroom64	vlb	cosine	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.544243	12.022548		300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_cosine_vlb	d8d1b2b8ccc286b9
lsun_bedroom64	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.409065	9.738789		300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_cosine_vlb	518c1cbdd8860e2a
lsun_bedroom64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.493092	14.631858		300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_geometric_linear_vlb	2b65ba270017680c
lsun_bedroom64	vlb	linear	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_bedroom_64x64/source/bedroom_train_lmdb	50000	64	2.514481	14.807627		300	50000	4000	/project_gpfs/bata0/bjin0/lsun_bedroom64_evaluation_nll_fid_20260624_002000/lsun_bedroom64_linear_vlb	455daf1361e2a8eb
