dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	hybrid_vb_weight	nll_samples	fid_samples	sampling_steps	source_eval_dir	cache_key
lsun_church64	hybrid	cosine	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.980509	2.562265	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_cosine_hybrid	0e8af7824ed3b3b4
lsun_church64	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.686059	5.435519	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_cosine_hybrid	0bed29dcb5425266
lsun_church64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.763765	4.281031	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_linear_hybrid	eb7679a7f49bcb6d
lsun_church64	hybrid	linear	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	3.065990	2.772151	0.001	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_linear_hybrid	fe65cb082df70caf
lsun_church64	vlb	cosine	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.788565	10.817714	none	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_cosine_vlb	d0b67513f736db9d
lsun_church64	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.662532	8.554623	none	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_cosine_vlb	8f4bf7c043e9a916
lsun_church64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.743077	11.913162	none	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_linear_vlb	deb2d010d6f9a6e0
lsun_church64	vlb	linear	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb	50000	64	2.767636	12.690538	none	300	50000	4000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_linear_vlb	1c296579d38aed31
