dataset	objective	schedule	hybrid_vb_weight	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	clip_density	clip_coverage	n_features_requested	samples_npz	real_dir
lsun_church64	hybrid	cosine	0.001	2.980509	2.562265	0.00754138865	0.00147682287	2.85603969e-05	1.11220002	0.956399977	0.791700006	0.794699967	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	hybrid	geometric_cosine	0.001	2.686059	5.435519	0.0176215315	0.00352001622	3.47527992e-05	1.10770001	0.899299979	0.693220032	0.602499962	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	hybrid	geometric_linear	0.001	2.763765	4.281031	0.0125376682	0.00264774309	3.44206454e-05	1.10790002	0.919200003	0.736900006	0.675300002	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	hybrid	linear	0.001	3.065990	2.772151	0.00911269596	0.00176364898	2.851829e-05	1.08732	0.945899963	0.753080017	0.745499969	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	vlb	cosine	none	2.788565	10.817714	0.0374669787	0.00859018016	6.68261248e-05	0.979680017	0.788499951	0.551659995	0.420399994	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	vlb	geometric_cosine	none	2.662532	8.554623	0.0258720743	0.00503856409	4.15031567e-05	0.812200012	0.837599993	0.561880014	0.519899964	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	vlb	geometric_linear	none	2.743077	11.913162	0.0318299417	0.00669214132	5.65717655e-05	0.661060016	0.794200003	0.525340018	0.492699981	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_geometric_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
lsun_church64	vlb	linear	none	2.767636	12.690538	0.0345811879	0.00762430033	6.26811584e-05	0.679540015	0.800099969	0.503940024	0.479399979	50000	/project_gpfs/bata0/bjin0/lsun_church64_evaluation_nll_fid_20260630_100608/lsun_church64_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/lsun_church_64x64/source/church_outdoor_train_lmdb
