dataset	objective	schedule	samples_npz	real_dir	n_samples	image_size	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source_eval_dir	cache_key
celeba64	hybrid	cosine	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.487845	3.436297	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_hybrid	97fb6d7b45d57d29
celeba64	hybrid	geometric_cosine	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.315872	4.545041	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_hybrid	67b5b6467addb39f
celeba64	hybrid	geometric_linear	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.365376	4.399385	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_hybrid	a9cffa50c5637ff7
celeba64	hybrid	linear	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.572481	2.160227	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_hybrid	c6bd3f9f99a32065
celeba64	vlb	cosine	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.392976	7.990079	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_vlb	93e5e8268e50db33
celeba64	vlb	geometric_cosine	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.294029	5.109179	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_vlb	83475bce977da6de
celeba64	vlb	geometric_linear	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.353337	6.064305	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_vlb	f1b983930a9b0d8e
celeba64	vlb	linear	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train	50000	64	2.373888	4.714939	10000	50000	4000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_vlb	d9ae44bb129b44e0
