dataset	objective	schedule	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	clip_density	clip_coverage	n_features_requested	samples_npz	real_dir
celeba64	hybrid	cosine	2.487845	3.436297	0.00340430961	0.00224163896	3.80638058e-05	1.32172002	0.96329999	1.00160002	0.90989995	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	hybrid	geometric_cosine	2.315872	4.545041	0.00402950004	0.00260077266	4.45927989e-05	1.41704001	0.957299948	1.04108004	0.876299977	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	hybrid	geometric_linear	2.365376	4.399385	0.00396410602	0.00264983319	4.51924989e-05	1.40714003	0.957399964	1.02912003	0.881500006	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	hybrid	linear	2.572481	2.160227	0.00243263893	0.00107564229	2.75489644e-05	1.2303	0.970299959	0.951760022	0.905900002	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_hybrid/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	vlb	cosine	2.392976	7.990079	0.0127279191	0.00523788195	4.76173918e-05	1.13542006	0.868900001	0.683280005	0.7051	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	vlb	geometric_cosine	2.294029	5.109179	0.00851420241	0.00259612459	3.31970259e-05	1.18872004	0.928900003	0.819800012	0.806499958	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_cosine_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	vlb	geometric_linear	2.353337	6.064305	0.0103328974	0.00299276811	3.48447441e-05	1.11818002	0.915899992	0.788680017	0.789399981	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_geometric_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
celeba64	vlb	linear	2.373888	4.714939	0.00865340233	0.0022638836	2.72648356e-05	1.04358005	0.913999975	0.798740009	0.797100008	50000	/project_gpfs/bata0/bjin0/celeba64_evaluation_nll_fid_20260620_224700/celeba64_linear_vlb/samples_50000x64x64x3.npz	/project_gpfs/bata0/bjin0/celeba_64x64/train
