dataset	objective	schedule	nll_bpd	fid	cmmd	kid	kid_se	density	coverage	n_features_requested	samples_npz	real_dir
fashionmnist	vlb	geometric_linear	0.921555	1.399474	0.00149676639	0.000451556873	2.69374538e-05	1.06970005	0.962499976	50000	/project_gpfs/bata0/bjin0/fashionmnist_evaluation_parallel_geometric_20260410_231225/fashionmnist_geometric_linear_vlb/samples_50000x32x32x3.npz	fashion_train
fashionmnist	vlb	linear	1.096259	1.277860	0.00175841923	0.000362335027	2.03816693e-05	1.04482004	0.959399998	50000	/project_gpfs/bata0/bjin0/fashion_evaluation_parallel_20260125_101550/fashionmnist_linear_vlb/samples_50000x32x32x3.npz	fashion_train
imagenet64	hybrid	cosine	3.366802	28.799262	0.0212387423	0.0303234593	0.000200602895	0.591340021	0.556800008	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	hybrid	geometric_cosine	3.315868	40.381191	0.0356380966	0.0434588024	0.000252630743	0.406960013	0.395500004	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	hybrid	geometric_linear	3.328986	34.554963	0.0291407896	0.0356780793	0.000209759678	0.492780014	0.469499975	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	hybrid	linear	3.397859	30.158692	0.024691803	0.0317489827	0.000189993816	0.525280017	0.510100007	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_hybrid/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	cosine	3.440620	27.780287	0.0198086542	0.0285127541	0.000196514691	0.600580011	0.563600004	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	geometric_cosine	6.068291	39.101916	0.0337412114	0.0413140294	0.00021766146	0.430720007	0.404100001	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	geometric_linear	10.759519	35.093241	0.0286191231	0.0372150833	0.000220715111	0.474660016	0.467999995	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	simple	linear	3.521594	30.746197	0.0265643483	0.0303139655	0.000179341978	0.510299997	0.502699971	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_simple/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	cosine	3.357082	62.814386	0.0643367006	0.0726921205	0.000271710595	0.274740012	0.239199996	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	geometric_cosine	3.310196	43.775487	0.0521316121	0.0392232398	0.00021695227	0.311600012	0.321399987	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	geometric_linear	3.327054	45.332546	0.0546608488	0.0364344077	0.00020290367	0.29882001	0.330599993	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
imagenet64	vlb	linear	3.341491	41.212610	0.046998971	0.035160615	0.000204485861	0.329700009	0.348499984	10000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_vlb/logger/samples_10000x64x64x3.npz	/project_gpfs/bata0/bjin0/imagenet64_official_verified_20260505/train
mnist	hybrid	cosine	0.346260	2.258499	0.00205494613	0.00192072463	4.14920796e-05	1.11409999	0.947599947	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_hybrid/samples_50000x32x32x3.npz	mnist_train
mnist	hybrid	geometric_cosine	0.286482	0.434488	0.000335180892	0.000162113981	1.83501942e-05	1.00968001	0.967899978	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_hybrid/samples_50000x32x32x3.npz	mnist_train
mnist	hybrid	geometric_linear	0.345607	0.494281	0.000520226847	0.000219665064	2.00400546e-05	1.04482003	0.967899978	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_hybrid/samples_50000x32x32x3.npz	mnist_train
mnist	hybrid	linear	0.387824	2.573753	0.00246951108	0.0020830566	3.91851057e-05	1.13328	0.940499961	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_hybrid/samples_50000x32x32x3.npz	mnist_train
mnist	simple	cosine	0.754538	2.173214	0.00208521344	0.0018312533	3.93787519e-05	1.1029	0.947899997	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_simple/samples_50000x32x32x3.npz	mnist_train
mnist	simple	geometric_cosine	0.343540	0.482725	0.000359458886	0.0002185304	1.863176e-05	1.04228002	0.964699984	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_simple/samples_50000x32x32x3.npz	mnist_train
mnist	simple	geometric_linear	0.647220	0.516012	0.000418186826	0.000241616252	1.68692573e-05	1.03096003	0.967399955	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_simple/samples_50000x32x32x3.npz	mnist_train
mnist	simple	linear	0.959524	2.598570	0.00288278376	0.00212609638	4.09872311e-05	1.13476003	0.942099988	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_simple/samples_50000x32x32x3.npz	mnist_train
mnist	vlb	cosine	0.315578	0.432768	0.000366286381	0.000109557869	1.75606138e-05	1.00662	0.965499997	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_cosine_vlb/samples_50000x32x32x3.npz	mnist_train
mnist	vlb	geometric_cosine	0.312752	0.450340	0.000364259314	0.000137873206	1.85420211e-05	1.01594002	0.969399989	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_cosine_vlb/samples_50000x32x32x3.npz	mnist_train
mnist	vlb	geometric_linear	0.391178	0.609716	0.00076894635	0.000344724921	2.54340092e-05	1.01218	0.965199947	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_geometric_20260411_090347/mnist_geometric_linear_vlb/samples_50000x32x32x3.npz	mnist_train
mnist	vlb	linear	0.476889	0.579668	0.000367543349	0.00029746584	2.23795249e-05	0.991860016	0.964100003	50000	/project_gpfs/bata0/bjin0/mnist_evaluation_parallel_20260128_083113/mnist_linear_vlb/samples_50000x32x32x3.npz	mnist_train
